A,BADEN,01,PAEDAGOGISCHE HOCHSCHULE NIEDERÖSTERREICH,48.0095418,16.25540710953925,Baden,Mühlgasse 67,2500,www.ph-noe.ac.at
A,DORNBIR,01,FACHHOCHSCHULE VORARLBERG GMBH,47.4057874,9.7445088,Dornbirn,HOCHSCHULSTRASSE 1,6850,http://www.fhv.at 
A,EISENST,01,STIFTUNG PRIVATE PÄDAGOGISCHE HOCHSCHULE BURGENLAND,47.8291822,16.534103398401683,Eisenstadt,Thomas Alva Edison Straße 1,7000,www.ph-burgenland.at
A,EISENST,02,FACHHOCHSCHULE BURGENLAND GMBH,NULL,NULL,Eisenstadt,CAMPUS 1,7000,www.fh-burgenland.at
A,EISENST,05,Joseph Haydn Konservatorium GmbH,47.8502587,16.51410482829911,Eisenstadt,Glorietteallee 2,7000,www.haydnkons.at
A,FELDKIR,01,Pädagogische Hochschule Vorarlberg,47.2188448,9.5718745,Feldkirch,Liechtensteinerstr. 33 -37,6800,www.ph-vorarlberg.ac.at
A,FELDKIR,03,Stella Vorarlberg Privathochschule für Musik GmbH,47.23476535,9.596077059158691,Feldkirch,Reichenfeldgasse 9,6800,https://stella-musikhochschule.ac.at/
A,GRAZ,01,UNIVERSITAET GRAZ,47.07772395,15.449483327472372,Graz,UNIVERSITATSPLATZ 3,8010,http://www.uni-graz.at
A,GRAZ,02,TECHNISCHE UNIVERSITAET GRAZ,47.069271,15.4503826,Graz,RECHBAUERSTRASSE 12,8010,www.tugraz.at
A,GRAZ,03,UNIVERSITAT FUR MUSIK UND DARSTELLENDE KUNST GRAZ (KUG),47.0724259,15.449859075634713,Graz,LEONHARDSTRASSE 15,8010,www.kug.ac.at
A,GRAZ,04,PADAGOGISCHE HOCHSCHULE STEIERMARK,47.082502,15.433639261809038,Graz,HASNERPLATZ 12,8010,www.phst.at
A,GRAZ,08,PRIVATE PADAGOGISCHE HOCHSCHULE AUGUSTINUM,47.0821405,15.4380465,Graz,LANGE GASSE 2,8010,www.pph-augustinum.at
